Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Burger King,Breakfast,Sandwich,"CROISSAN'WICH Sausage, Egg & Cheese",490,280,31,11,1,215,990,27,0,5,18
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Bacon, Egg, & Cheese",490,280,31,13,1,215,1330,27,0,5,22
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Ham, Bacon, Egg, & Cheese",470,240,26,11,1,220,1540,27,0,6,24
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Ham, Egg, & Cheese",390,170,19,9,0,185,1670,27,1,6,26
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Ham, Sausage, Egg, & Cheese",570,320,35,14,1,240,1630,28,0,6,28
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Sausage, Bacon, Egg, & Cheese",570,340,37,15,1,235,1350,28,0,5,24
Burger King,Breakfast,Sandwich,"DOUBLE CROISSAN'WICH w/ Sausage, Egg, & Cheese",700,440,49,18,1,255,1510,29,0,5,29
Burger King,Breakfast,Sandwich,Fully Loaded CROISSAN'WICH®,570,330,37,15,0.5,195,1650,32,1,5,27
Burger King,Breakfast,Sandwich,"Ham, Egg, & Cheese Biscuit",420,200,22,15,1,185,1410,33,1,5,16
Burger King,Breakfast,Sandwich,King CROISSAN'WICH®,700,460,51,20,0.5,210,1410,31,1,5,25
Burger King,Breakfast,Sandwich,King CROISSAN'WICH® w/ Ham & Sausage,530,310,34,14,0.5,185,1280,31,1,5,23
Burger King,Breakfast,Sandwich,King CROISSAN'WICH® w/ Sausage and Bacon,570,340,38,16,0.5,185,1330,31,1,5,23
Burger King,Breakfast,Sandwich,Sausage Biscuit,420,240,27,15,1,35,1090,32,1,3,13
Burger King,Breakfast,Sandwich,"Sausage, Egg, & Cheese Biscuit",570,330,37,19,1,210,1510,34,1,4,20
Burger King,Breakfast,Wrap,Egg-normous Burrito,810,500,52,19,1,315,2110,51,7,3,32
Burger King,Breakfast,Wrap,Sausage Breakfast Burrito,290,150,17,7,0,140,830,21,1,2,14
Burger King,Chicken,Nuggets,Chicken Nuggets 20 Piece,950,500,55,11,0,130,1530,50,5,0,51
Burger King,Chicken,Nuggets,Chicken Nuggets 4 Piece,190,100,11,2,0,25,310,10,1,0,10
